,Date,Net Sales,Orders,Guests
186,2023-07-06,549.09,16,16
187,2023-07-07,1338.55,38,38
188,2023-07-08,1307.66,36,36
189,2023-07-09,1069.74,29,29
190,2023-07-10,0.0,0,0
191,2023-07-11,395.66,14,14
192,2023-07-12,377.3,13,13
193,2023-07-13,402.24,15,15
194,2023-07-14,1399.44,40,40
195,2023-07-15,1486.41,43,43
196,2023-07-16,1027.37,26,26
197,2023-07-17,0.0,0,0
198,2023-07-18,264.33,9,9
199,2023-07-19,439.15,16,16
200,2023-07-20,297.86,11,11
201,2023-07-21,711.52,24,24
202,2023-07-22,883.02,22,22
203,2023-07-23,997.24,27,27
204,2023-07-24,0.0,0,0
205,2023-07-25,675.65,22,22
206,2023-07-26,781.45,23,23
207,2023-07-27,712.03,17,17
208,2023-07-28,812.41,27,27
209,2023-07-29,1162.06,34,34
210,2023-07-30,1024.12,26,26
211,2023-07-31,0.0,0,0
212,2023-08-01,543.56,19,19
213,2023-08-02,612.33,21,21
214,2023-08-03,546.1,15,15
215,2023-08-04,925.24,28,28
216,2023-08-05,777.01,26,26
217,2023-08-06,881.6,24,24
218,2023-08-07,0.0,0,0
219,2023-08-08,295.79,11,11
220,2023-08-09,408.16,18,18
221,2023-08-10,722.55,18,18
222,2023-08-11,924.88,27,27
223,2023-08-12,1041.24,29,29
224,2023-08-13,1065.23,27,27
225,2023-08-14,0.0,0,0
226,2023-08-15,330.27,11,11
227,2023-08-16,317.73,9,9
228,2023-08-17,174.86,6,6
229,2023-08-18,939.87,30,30
230,2023-08-19,904.78,28,28
231,2023-08-20,825.28,27,27
232,2023-08-21,0.0,0,0
233,2023-08-22,914.2,13,13
234,2023-08-23,374.24,15,15
235,2023-08-24,371.7,12,12
236,2023-08-25,1249.59,40,40
237,2023-08-26,1550.85,34,34
238,2023-08-27,744.82,24,24
239,2023-08-28,0.0,0,0
240,2023-08-29,775.03,28,28
241,2023-08-30,370.71,14,14
242,2023-08-31,556.62,25,25
243,2023-09-01,908.81,32,32
244,2023-09-02,1051.27,29,29
245,2023-09-03,1218.26,35,35
246,2023-09-04,0.0,0,0
247,2023-09-05,440.58,13,13
248,2023-09-06,249.86,10,10
249,2023-09-07,681.81,22,22
250,2023-09-08,1051.73,31,31
251,2023-09-09,1397.6,32,32
252,2023-09-10,1154.45,35,35
253,2023-09-11,0.0,0,0
254,2023-09-12,378.69,15,15
255,2023-09-13,121.4,9,9
256,2023-09-14,885.84,19,19
257,2023-09-15,911.47,30,30
258,2023-09-16,1021.82,28,28
259,2023-09-17,672.59,21,21
260,2023-09-18,0.0,0,0
261,2023-09-19,608.64,20,20
262,2023-09-20,592.63,16,16
263,2023-09-21,316.77,12,12
264,2023-09-22,916.95,27,27
265,2023-09-23,969.72,31,31
266,2023-09-24,371.24,12,12
267,2023-09-25,21.99,1,1
268,2023-09-26,556.59,16,16
269,2023-09-27,477.65,17,17
270,2023-09-28,552.15,15,15
271,2023-09-29,903.47,26,26
272,2023-09-30,946.9,31,31
273,2023-10-01,538.58,17,17
274,2023-10-02,0.0,0,0
275,2023-10-03,289.23,9,9
276,2023-10-04,350.21,12,12
277,2023-10-05,481.62,17,17
278,2023-10-06,1207.26,37,37
279,2023-10-07,742.85,23,23
280,2023-10-08,753.0,19,19
281,2023-10-09,24.97,1,1
282,2023-10-10,485.15,20,20
