,Date,Net Sales,Orders,Guests
808,2025-03-19,515.67,16,16
809,2025-03-20,823.56,21,21
810,2025-03-21,1126.31,33,33
811,2025-03-22,2181.98,69,69
812,2025-03-23,1234.16,38,38
813,2025-03-24,0.0,0,0
814,2025-03-25,767.94,28,28
815,2025-03-26,951.48,30,30
816,2025-03-27,779.96,20,20
817,2025-03-28,1972.78,56,56
818,2025-03-29,2022.78,61,61
819,2025-03-30,1152.7,34,34
820,2025-03-31,0.0,0,0
821,2025-04-01,402.75,15,15
822,2025-04-02,782.36,24,24
823,2025-04-03,825.51,25,25
824,2025-04-04,1900.12,56,56
825,2025-04-05,2284.7,52,52
826,2025-04-06,1118.35,34,34
827,2025-04-07,0.0,0,0
828,2025-04-08,823.45,23,23
829,2025-04-09,506.66,14,14
830,2025-04-10,784.99,24,24
831,2025-04-11,1499.06,39,39
832,2025-04-12,1919.51,52,52
833,2025-04-13,1309.23,32,32
834,2025-04-14,0.0,0,0
835,2025-04-15,669.75,24,24
836,2025-04-16,458.25,15,15
837,2025-04-17,784.62,26,26
838,2025-04-18,1158.18,36,36
